Date,Company,Ticker,Open,High,Low,Close,Volume
2024-01-02,Tesla,TSLA,250.0800018310547,251.25,244.41000366210938,248.4199981689453,104654200
2024-01-03,Tesla,TSLA,244.97999572753906,245.67999267578125,236.32000732421875,238.4499969482422,121082600
2024-01-04,Tesla,TSLA,239.25,242.6999969482422,237.72999572753906,237.92999267578125,102629300
2024-01-05,Tesla,TSLA,236.86000061035156,240.1199951171875,234.89999389648438,237.49000549316406,92379400
2024-01-08,Tesla,TSLA,236.13999938964844,241.25,235.3000030517578,240.4499969482422,85166600
2024-01-09,Tesla,TSLA,238.11000061035156,238.9600067138672,232.0399932861328,234.9600067138672,96705700
2024-01-10,Tesla,TSLA,235.10000610351562,235.5,231.2899932861328,233.94000244140625,91628500
2024-01-11,Tesla,TSLA,230.57000732421875,230.92999267578125,225.3699951171875,227.22000122070312,105873600
2024-01-12,Tesla,TSLA,220.0800018310547,225.33999633789062,217.14999389648438,218.88999938964844,122889000
2024-01-16,Tesla,TSLA,215.10000610351562,223.49000549316406,212.17999267578125,219.91000366210938,115355000
2024-01-17,Tesla,TSLA,214.86000061035156,215.6699981689453,212.00999450683594,215.5500030517578,103164400
2024-01-18,Tesla,TSLA,216.8800048828125,217.4499969482422,208.74000549316406,211.8800048828125,108595400
2024-01-19,Tesla,TSLA,209.99000549316406,213.19000244140625,207.55999755859375,212.19000244140625,102095800
2024-01-22,Tesla,TSLA,212.25999450683594,217.8000030517578,206.27000427246094,208.8000030517578,117952500
2024-01-23,Tesla,TSLA,211.3000030517578,215.64999389648438,207.75,209.13999938964844,106605900
2024-01-24,Tesla,TSLA,211.8800048828125,212.72999572753906,206.77000427246094,207.8300018310547,123369900
2024-01-25,Tesla,TSLA,189.6999969482422,193.0,180.05999755859375,182.6300048828125,198076800
2024-01-26,Tesla,TSLA,185.5,186.77999877929688,182.10000610351562,183.25,107343200
2024-01-29,Tesla,TSLA,185.6300048828125,191.47999572753906,183.6699981689453,190.92999267578125,125013100
