date,company,symbol,article_count,avg_sentiment,open,high,low,close,volume
2024-01-01,apple,AAPL,223,0.14943227923048552,186.0330720064728,187.31538170646212,182.79253333369908,184.53208923339844,82488700.0
2024-01-01,google,GOOGL,141,0.09415354149396701,137.89075472780192,138.78646627528045,135.83059690794266,137.51255798339844,23711200.0
2024-01-01,microsoft,MSFT,73,0.0723421428900881,370.3424737462839,372.3632885983454,363.319184585885,367.380615234375,25258600.0
2024-01-01,nvidia,NVDA,17,0.13515406162464985,49.22551389912714,49.27649344260116,47.57713465197093,48.14991760253906,411254000.0
2024-01-01,tesla,TSLA,109,0.10638478493983079,250.0800018310547,251.25,244.41000366210935,248.4199981689453,104654200.0
2024-01-02,apple,AAPL,478,0.09051624533842106,186.0330720064728,187.31538170646212,182.79253333369908,184.53208923339844,82488700.0
2024-01-02,google,GOOGL,189,0.09403988868274583,137.89075472780192,138.78646627528045,135.83059690794266,137.51255798339844,23711200.0
2024-01-02,microsoft,MSFT,80,0.13021811868686867,370.3424737462839,372.3632885983454,363.319184585885,367.380615234375,25258600.0
2024-01-02,nvidia,NVDA,39,0.24799644799644802,49.22551389912714,49.27649344260116,47.57713465197093,48.14991760253906,411254000.0
2024-01-02,tesla,TSLA,492,0.08057001856544539,250.0800018310547,251.25,244.41000366210935,248.4199981689453,104654200.0
2024-01-03,apple,AAPL,555,0.059390958599291936,183.1205556229884,184.77065219734183,182.3352619375341,183.1503753662109,58414500.0
2024-01-03,google,GOOGL,176,0.15865897202544932,136.59695053777563,138.96563111524162,136.42776123741183,138.25900268554688,24212100.0
2024-01-03,microsoft,MSFT,105,0.07602717652717653,365.5380921792409,369.7481050532778,365.0427965470012,367.1131286621094,23083500.0
2024-01-03,nvidia,NVDA,38,0.13183669400774664,47.46717554449256,48.16591065021649,47.30223656751736,47.55114364624024,320896000.0
2024-01-03,tesla,TSLA,461,0.07907722248828539,244.97999572753903,245.67999267578125,236.32000732421875,238.4499969482422,121082600.0
2024-01-04,apple,AAPL,608,0.09008951118326118,181.06289876138527,181.99729114451387,179.80048920928164,180.8243408203125,71983600.0
2024-01-04,google,GOOGL,261,0.06769190490933787,137.76136746127565,138.49785185670754,135.7012248421468,135.74102783203125,27137700.0
2024-01-04,microsoft,MSFT,476,0.05846202117210521,367.1824744278544,369.5896039263641,363.7154050293527,364.4781494140625,20901500.0
2024-01-04,nvidia,NVDA,50,0.10282299182299184,47.74906818641796,48.48179475152094,47.49016653492504,47.97998428344727,306535000.0
2024-01-04,tesla,TSLA,252,0.044681194026432114,239.25,242.6999969482422,237.72999572753903,237.92999267578125,102629300.0
2024-01-05,apple,AAPL,538,0.05444963190722949,180.90388776119545,181.66928147459845,179.09474225448028,180.0987091064453,62303300.0
2024-01-05,google,GOOGL,276,0.06310425685425686,136.09931838527314,136.50737117465926,134.50692540464604,135.08416748046875,22506000.0
2024-01-05,microsoft,MSFT,204,0.07201465813598165,365.4985007136341,368.559424433647,363.0517388090319,364.28997802734375,20987000.0
2024-01-05,nvidia,NVDA,47,0.18815625863498206,48.44380758245641,49.52839932284036,48.28786410604074,49.07856750488281,415039000.0
2024-01-05,tesla,TSLA,355,0.04708866837387965,236.8600006103516,240.1199951171875,234.8999938964844,237.4900054931641,92379400.0
2024-01-06,apple,AAPL,315,0.05604686891591652,180.90388776119545,181.66928147459845,179.09474225448028,180.0987091064453,62303300.0
2024-01-06,google,GOOGL,90,0.09848444765111432,136.09931838527314,136.50737117465926,134.50692540464604,135.08416748046875,22506000.0
2024-01-06,microsoft,MSFT,87,0.09632221227048814,365.4985007136341,368.559424433647,363.0517388090319,364.28997802734375,20987000.0
2024-01-06,nvidia,NVDA,19,0.19280701754385965,48.44380758245641,49.52839932284036,48.28786410604074,49.07856750488281,415039000.0
2024-01-06,tesla,TSLA,82,0.025843033998521805,236.8600006103516,240.1199951171875,234.8999938964844,237.4900054931641,92379400.0
2024-01-07,apple,AAPL,247,0.05394314384445963,180.90388776119545,181.66928147459845,179.09474225448028,180.0987091064453,62303300.0
2024-01-07,google,GOOGL,93,0.10231927570637248,136.09931838527314,136.50737117465926,134.50692540464604,135.08416748046875,22506000.0
